model,features,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse_mean_wi,nrmse_mean_wi,nrmse_mean_wi,nrmse_mean_wi,nrmse_mean_wi,nrmse_mean_wi,nrmse_std_wi,nrmse_std_wi,nrmse_std_wi,nrmse_std_wi,nrmse_std_wi,nrmse_std_wi
,,Gabon,Liberia,Rwanda,Sierra Leone,South Africa,Uganda,Gabon,Liberia,Rwanda,Sierra Leone,South Africa,Uganda,Gabon,Liberia,Rwanda,Sierra Leone,South Africa,Uganda
CB,FBP,0.7118278352481632,0.7009746491877363,0.7819670759053993,0.6305449277036516,0.8952683385421283,0.7533792780023362,0.46596937813707645,0.5288882038067101,0.6600820507442192,0.45906915024111106,0.8750806963068701,0.6066447218570916,0.9576862923592498,0.8730610945687625,0.9038521010665793,0.802020705166192,0.9154559807773865,0.9001138341475808
CB,NTLL,0.6988352967104977,0.718859773291287,0.7543574784463266,0.6608720319823154,0.8328183798030077,0.6925634153879878,0.46864218522291373,0.5516601923285022,0.59986214388541,0.5132534093316051,0.7650956154034271,0.5078885530317884,0.9290284081980817,0.8860593542540719,0.9088528130072432,0.8084906546330255,0.9005411442025881,0.8772382777441873
CB,OCI,0.7337708982503335,0.7304885116497246,0.8623181669972375,0.6655793320538806,0.8893081047870858,0.7491211109541321,0.4822596462058901,0.5755333396606133,0.7145419746681642,0.5131047627584228,0.8320526205578624,0.5844468684588949,0.9852821502947767,0.8854436836388361,1.0100943593263108,0.8180539013493385,0.9465635890163089,0.9137953534493692
CB,OSM,0.7909965296435787,0.7598023600581922,0.8412228706093353,0.6999925080021852,0.8617204351323231,0.7845425896866615,0.5503922596257725,0.58163121665993,0.6530845718949118,0.525058848717126,0.809630286573585,0.629218844412227,1.031600799661385,0.9379735034564544,1.0293611693237588,0.8749261672872443,0.9138105836910614,0.9398663349610962
CB,metadata,0.6690169653512653,0.6813358496137485,0.7366801014203155,0.6094236674070976,0.8202889282320855,0.6513078579382224,0.43914113798242765,0.4808318071347916,0.572177594600343,0.4377169512508177,0.7536971827184505,0.47290273116600706,0.8988927927201033,0.8818398920927054,0.901182608240288,0.7811303835633776,0.8868806737457207,0.8297129847104378
CB$_w$,metadata,0.6832666448279654,0.6914150893858441,0.7369469183006272,0.6109015977249941,0.8213611598538119,0.6449288926437997,0.4276505989264768,0.49751876171725606,0.5663725917550754,0.43902238585202014,0.7532303733593354,0.4610990551090517,0.938882690729454,0.8853114170544321,0.9075212448461792,0.782780809597968,0.8894919463482882,0.8287587301785478
CNN,images,0.8469271326396354,0.7664239702772285,0.9846765686442126,0.7356814235246144,0.9076456157603427,0.7675161035467699,0.608905434774531,0.6039346701946319,0.7577015992966011,0.5696212900362948,0.8484343737473273,0.5994642283170469,1.08494883050474,0.9289132703598254,1.2116515379918242,0.9017415570129339,0.9668568577733585,0.9355679787764927
CNN$_a$,images,0.8520767119963654,0.7053059476841272,0.8509441028087594,0.7646896153871184,0.8928813982731686,0.7540305562943533,0.6133489942130922,0.5560041833440258,0.7144479276434451,0.5933387908844935,0.8306465279609451,0.5947639125869372,1.0908044297796387,0.8546077120242287,0.9874402779740737,0.9360404398897434,0.9551162685853919,0.9132972000017694
CNN$_a$+CB,images+metadata,0.661682230589525,0.6739455095048075,0.749623066073927,0.6319050525291288,0.7910553174471193,0.6556015104319498,0.43126995291476794,0.4742609681282337,0.585667271605238,0.4611814151347329,0.7074391130008898,0.46791894089303415,0.8920945082642823,0.8736300508813812,0.9135788605426161,0.8026286899235245,0.8746715218933487,0.8432840799708654
CNN$_a$+CB$_w$,images+metadata,0.6703354730697368,0.6764570958231828,0.7411260863064388,0.6289669130246863,0.8014418678069163,0.6621237983419676,0.4273385347863496,0.48072936514764525,0.5785665628491633,0.46239961036408683,0.7173854446469624,0.4727575257761113,0.9133324113531242,0.8721848264987204,0.9036856097637141,0.7955342156852859,0.8854982909668702,0.8514900709078239
CNN+CB,images+metadata,0.721967463496847,0.7134824493645505,0.753955352886574,0.632914120571531,0.8289118785278964,0.6912558484288082,0.47130135344536345,0.5429295820147927,0.5857476791981072,0.45264113466264405,0.7632816482049636,0.5154455827145571,0.9726335735483308,0.8840353167143084,0.922163026575041,0.8131871064804178,0.8945421088508292,0.8670661141430591
CNN+CB$_w$,images+metadata,0.7430305622380141,0.7180096722216748,0.7695101971923224,0.6306209842431458,0.8221957147126452,0.6960874216013616,0.47063129163645434,0.5433181436292126,0.5986715162523036,0.4527402485776062,0.7631594722100123,0.521159895294082,1.0154298328395739,0.892701200814137,0.9403488781323411,0.8085017199086857,0.8812319572152779,0.871014947908641
